xiaozhiqiguan	bronchiole	小支气管
xiaogaigai	young lady	小改改
xiaogong	top	小攻
xiaoshu	small figure	小数
xiaoshudian	decimal point	小数点
xiaobanzhuomuniao	lesser spotted woodpecker	小斑啄木鸟
xiaobanjiweng	little pied flycatcher	小斑姬鹟
xiaobandian	speckle	小斑点
xiaoyu	less than, <	小于
xiaorizi	simple life	小日子
xiaoriben	Japanese person	小日本
xiaoxingtouzhuomuniao	Japanese pygmy woodpecker	小星头啄木鸟
xiaozhaosi	Ramoche Temple, Lhasa	小昭寺
xiaoshi	hour	小时
xiaoshihou	in one's childhood	小时候
xiaoshigong	hourly worker	小时工
xiaoqu	popular song	小曲
xiaoshuqian	bookmarklet	小书签
xiaopengyou	child	小朋友
xiaoben	small capital	小本
xiaobenshengyi	small business	小本生意
xiaoshaoyu	little curlew	小杓鹬
xiaodujuan	lesser cuckoo	小杜鹃
xiaolin	Kobayashi	小林
xiaochui	mallet	小槌
xiaolou	small multi-story building	小楼
xiaobiaoti	subheading	小标题
xiaoyang	galley proof	小样
xiaoshu	shrub	小树
xiaoshulin	grove	小树林
xiaobuwuqu	minuet	小步舞曲
xiaoduanzi	short paragraph	小段子
xiaomaotou	new-born baby	小毛头
xiaomin	ordinary people	小民
xiaoqi	stingy	小气
xiaoqihou	microclimate	小气候
xiaoqigui	miser	小气鬼
xiaoqiche	compact car	小汽车
xiaohe	creek	小河
xiaoquan	Koizumi	小泉
xiaopao	vesicles	小泡
xiaobo	wavelet	小波
xiaotaoqi	Rogue, Marvel Comics superhero	小淘气
xiaotaoqi	rascal	小淘气
xiaoyuan	Obuchi	小渊
xiaohunhun	hooligan	小混混
xiaoqingxin	hipster	小清新
xiaoxi	brook	小溪
xiaodi	droplet	小滴
xiaochao	neap tide	小潮
xiaobinyu	little stint	小滨鹬
xiaohuishanjiaoniao	Swinhoe's minivet	小灰山椒鸟
xiaoxiongzuo	Ursa Minor	小熊座
xiaoxiongweini	Winnie-the-Pooh	小熊维尼
xiaoxiongmao	lesser panda	小熊猫
xiaoyanwei	little forktail	小燕尾
xiaoniu	calf	小牛
xiaoniurou	veal	小牛肉
xiaoquan	puppy	小犬
xiaoquanzuo	Canis Minor	小犬座
xiaogou	pup	小狗
xiaoshizuo	Leo Minor	小狮座
xiaowanyi	gadget	小玩意
xiaoshengchan	small-scale production	小生产
xiaochan	miscarry	小产
xiaotianji	Baillon's crake	小田鸡
xiaofanqie	cherry tomato	小番茄
xiaobing	minor illness	小病
xiaodeng	youngster	小登
xiaofacai	mini truck	小发财
xiaobai	novice	小白
xiaobaitu	small white rabbit	小白兔
xiaobaiyaoyuyan	house swift	小白腰雨燕
xiaobailian	attractive young man	小白脸
xiaobaicai	bok choy	小白菜
xiaobaieyan	lesser white-fronted goose	小白额雁
xiaobaishu	white mouse	小白鼠
xiaobaikequanshu	micropedia	小百科全书
xiaode	young child	小的
xiaohuangdi	child emperor	小皇帝
xiaojin	lunar month of 29 days	小尽
xiaopanwei	lesser racket-tailed drongo	小盘尾
xiaokan	look down on	小看
xiaoyanjiao	outer corner of the eye	小眼角
xiaozhong	minority of the population	小众
xiaoshui	nap	小睡
xiaoqiao	look down on	小瞧
xiaozuzong	brat	小祖宗
xiaopiao	receipt	小票
xiaomi	"secretary"	小秘
xiaobidian	mini laptop or notebook	小笔电
xiaosuanpan	lit. small abacus	小算盘
xiaoguan	young squid	小管
xiaojie	a minor matter	小节
xiaojiexian	bar line	小节线
xiaofanwei	small-scale	小范围
xiaolongbao	steamed dumpling	小笼包
xiaolongtangbao	steamed soup dumpling	小笼汤包
xiaomi	millet	小米
xiaomijiao	same as 朝天椒[chao2 tian1 jiao1]	小米椒
xiaofen	starch	小粉
xiaojingling	elf	小精灵
xiaohongmao	Little Red Riding Hood	小红帽
xiaohongshu	REDnote	小红书
xiaohongmei	cranberry	小红莓
xiaohongluobo	small red radish	小红萝卜
xiaozu	group	小组
xiaozuweiyuanhui	subcommittee	小组委员会
xiaozusai	group stage	小组赛
xiaojie	summary	小结
xiaorongya	Steller's eider	小绒鸭
xiaobian	social-media editor	小编
xiaoyang	lamb	小羊
xiaoyangtuo	vicuña	小羊驼
xiaomeizhoutuo	lesser rhea	小美洲鸵
xiaolingyang	gazelle	小羚羊
xiaolaopo	concubine	小老婆
xiaolaoshu	@	小老鼠
xiaokao	quiz	小考
xiaocongming	clever-clever	小聪明
xiaosheng	in a low voice	小声
xiaopangzhua	hand	小胖爪
xiaonao	cerebellum	小脑
xiaojiao	bound feet	小脚
xiaochang	small intestine	小肠
xiaofu	underbelly	小腹
xiaotui	lower leg	小腿
xiaotuidu	calf	小腿肚
xiaojiuzi	wife's younger brother	小舅子
xiaoshe	uvula	小舌
xiaochuan	boat	小船
xiaohua	popular young actress	小花
xiaohuixiang	fennel	小茴香
xiaocai	appetizer	小菜
xiaocaiyidie	a small appetizer	小菜一碟
xiaoweijian	little bittern	小苇鳽
xiaokuihuafengtouyingwu	yellow-crested cockatoo	小葵花凤头鹦鹉
xiaocong	green onion	小葱
xiaoxun	Xiao Xun , Taiwan actress	小薰
xiaosuda	baking soda	小苏打
xiaoluobotou	kid	小萝卜头
xiaohao	trumpet	小号
xiaomi	girlfriend of a married man	小蜜
xiaomifeng	honeybee	小蜜蜂
xiaohuangying	Pallas's grasshopper warbler	小蝗莺
xiaoxia	shrimp	小虾
xiaoxiami	shrimp	小虾米
xiaodu	bark beetle	小蠹
xiaomanyao	slim feminine waist	小蛮腰
xiaoxingxing	asteroid	小行星
xiaochongtu	skirmish	小冲突
xiaodai	pouch	小袋
xiaodaishu	wallaby	小袋鼠
xiaolixiaoqi	stingy	小里小气
xiaogua	close-fitting  upper garment	小褂
xiaoshi	belittle	小视
xiaoqu	despise	小觑
xiaojie	urinate	小解
xiaoji	subtotal	小计
xiaoshuo	novel	小说
xiaoshuojia	novelist	小说家
xiaohuang	fib	小谎
xiaodou	see 紅豆|红豆[hong2 dou4]	小豆
xiaodoukou	Indian cardamom	小豆蔻
xiaomao	kitten	小猫
xiaohuoche	small truck	小货车
xiaofan	peddler	小贩
xiaofei	tip	小费
xiaozi	petit bourgeois	小资
xiaozichanjieji	petty bourgeois	小资产阶级
xiaomaibu	kiosk	小卖部
xiaopao	trot	小跑
xiaolu	minor road	小路
xiaoche	small model car	小车
xiaojunjianniao	great frigatebird	小军舰鸟
xiaobei	the younger generation	小辈
xiaolunche	BMX	小轮车
xiaozhuan	turn right	小转
xiaojiaoche	sedan	小轿车
xiaobian	pigtail	小辫
xiaobianzi	pigtail	小辫子
xiaoyou	outing	小游
xiaoguo	little mistake	小过
xiaodao	bypath	小道
xiaodaoju	hand prop	小道具
xiaodaoxinwen	news from the grapevine	小道新闻
xiaodaoxiaoxi	hearsay	小道消息
xiaozhuo	have a few  drinks	小酌
xiaojiuguan	bistro	小酒馆
xiaoye	Ono	小野
xiaoyebuyoumei	Ono Fuyumi , Japanese novelist	小野不由美
xiaoliang	a small quantity	小量
xiaojin	see 小金縣|小金县[Xiao3 jin1 Xian4]	小金
xiaojinku	supplementary cash reserve	小金库
xiaogangzhu	pachinko	小钢珠
xiaoqian	a small amount of money	小钱
xiaozhen	small town	小镇
xiaochanzi	trowel	小铲子
xiaokai	boss's son	小开
xiaochuxi	the day before New Year's Eve	小除夕
xiaojituan	faction	小集团
xiaoji	chick	小鸡
xiaojiji	penis	小鸡鸡
xiaoyu	light rain	小雨
xiaoyusan	condom	小雨伞
xiaoyunque	oriental skylark	小云雀
xiaodianying	adult movie	小电影
xiaodianlu	electric scooter	小电驴
xiaoqingnian	young person	小青年
xiaoqingjiaoyu	Nordmann's greenshank	小青脚鹬
xiaoyun	homophone group	小韵
xiaoxiang	small item	小项
xiaoerongzi	microfinance	小额融资
xiaoe	mandible	小颚
xiaoshi	snack	小食
xiaoshizhongxin	food court	小食中心
xiaofanguan	tearoom	小饭馆
xiaoma	colt	小马
xiaomazuo	Equuleus	小马座
xiaozanggui	dirty little devil	小脏鬼
xiaosonggao	muffin	小松糕
xiaohuan	chignon worn by a young girl	小鬟
xiaogui	little demon	小鬼
xiaoxianrou	teen idol	小鲜肉
xiaolinxiongjiaomei	pygmy cupwing	小鳞胸鹪鹛
xiaoniao	small bird	小鸟
xiaoniaoqiu	birdie	小鸟球
xiaoniaowei	small appetite	小鸟胃
xiaofengtouyanou	lesser crested tern	小凤头燕鸥
xiaobao	little bustard	小鸨
xiaoyajuan	lesser coucal	小鸦鹃
xiaowu	little bunting	小鹀
xiaojuanjiu	little cuckoo-dove	小鹃鸠
xiaoe	gosling	小鹅
xiaoou	little gull	小鸥
xiaoyinghao	Kitty Hawk	小鹰号
xiaopiti	little grebe	小䴙䴘
xiaomai	wheat	小麦
xiaomaipeiya	wheat germ	小麦胚芽
xiaomianbao	bread roll	小面包
xiaohuang	taxicab	小黄
xiaohuanggua	gherkin	小黄瓜
xiaohuangjiaoyu	lesser yellowlegs	小黄脚鹬
xiaohuangche	yellow bicycle	小黄车
xiaogu	snare drum	小鼓
xiaoshu	mouse	小鼠
xiaolong	snake	小龙
xiaolongxia	crayfish	小龙虾
jie	few	尐
shao	few	少
shao	young	少
shaobuliao	cannot do without	少不了
shaobude	cannot be avoided	少不得
shaobugengshi	young and inexperienced	少不更事
shaobujingshi	see 少不更事[shao4 bu4 geng1 shi4]	少不经事
shaozhiyoushao	very few	少之又少
shaolai	refrain	少来
shaoer	child	少儿
shaoerbuyi	not suitable for children	少儿不宜
shaoke	a short while	少刻
shaokuairou	hurt	少块肉
shaozhuang	young and strong	少壮
shaozhuangpai	young guard	少壮派
shaonu	girl	少女
shaonufeng	Jungfrau, peak in Switzerland	少女峰
shaonainai	young lady of the house	少奶奶
shaofu	young married woman	少妇
shaozihua	declining birthrate	少子化
shaoanwuzao	keep calm, don't get excited	少安毋躁
shaojiang	major general	少将
shaowei	second lieutenant	少尉
shaonian	early youth	少年
shaonianzhijia	children's center	少年之家
shaonianren	young people	少年人
shaonianxianfengdui	Young Pioneers of China	少年先锋队
shaonianfan	young criminal	少年犯
shaonianlaocheng	accomplished though young	少年老成
shaofang	add less	少放
shaoshu	small number	少数
shaoshuzuyi	ethnic minority	少数族裔
shaoshuminzu	ethnic minority	少数民族
shaoshuminzuxiang	ethnic township	少数民族乡
shaoyou	rare	少有
shaodong	boss's son	少东
shaodongjia	boss's son	少东家
shaogenjin	dim-witted	少根筋
shaoye	son of the boss	少爷
shaonan	young, unmarried male	少男
shaonanshaonu	boys and girls	少男少女
shaobaitou	be prematurely gray	少白头
shaoguanxianshi	Mind your own business!	少管闲事
shaoai	young and pretty	少艾
shaojian	rare	少见
shaoxu	a little	少许
shaoshuoweijia	Few words are best.	少说为佳
shaoxuan	a little while	少选
shaobufen	a small proportion of	少部分
shaoliang	a smidgen	少量
shaojian	after a short while	少间
shaoyangbing	name of disease in TCM	少阳病
shaoqing	in a short while	少顷
er	variant of 爾|尔[er3]	尔
er	variant of 爾|尔[er3]	尓
ga	little	尕
jian	pointed	尖
jiandao	dagger	尖刀
jianli	sharp	尖利
jianke	caustic	尖刻
jianli	shrill	尖厉
jianjiao	screech	尖叫
jianjiaoji	squeaky rubber chicken	尖叫鸡
jianwenlu	barramundi or Asian sea bass	尖吻鲈
jianzuiyu	Indo-Pacific wrasse	尖嘴鱼
jianta	spire	尖塔
jianzi	best of its kind	尖子
jianzisheng	top student	尖子生
jianjian	sharp	尖尖
jianweibinyu	sharp-tailed sandpiper	尖尾滨鹬
jianshan	see 尖山區|尖山区[Jian1 shan1 Qu1]	尖山
jianfeng	sharp peak	尖峰
jianzha	see 尖扎縣|尖扎县[Jian1 zha1 Xian4]	尖扎
jiankuohao	angle brackets < >	尖括号
jianxin	fresh	尖新
jianjiao	chili pepper	尖椒
jianya	canine tooth	尖牙
jianzhai	pointy	尖窄
jianduan	sharp pointed end	尖端
jianguanmian	penne pasta	尖管面
jianxi	tapered	尖细
jianshengtiku	squeal	尖声啼哭
jiansuan	harsh	尖酸
jiansuankebo	sharp and unkind	尖酸刻薄
jianrui	sharp	尖锐
jianruihua	intensify	尖锐化
jianruipiping	sharp criticism	尖锐批评
jianruishiyou	genital wart	尖锐湿疣
jianding	pointed object	尖顶
jiantou	pointed end	尖头
jiantougui	Chinese minnow	尖头鱥
shu	old variant of 菽[shu1]	尗
shang	variant of 尚, still	尙
shang	surname Shang	尚
shang	still	尚
shangqie	even	尚且
shangke	not bad	尚可
shangcun	still remains	尚存
shangzhi	see 尚志市[Shang4 zhi4 Shi4]	尚志
shangfangjian	imperial sword	尚方剑
shangshu	high official	尚书
shangshujing	Book of History	尚书经
shangshulang	ancient official title	尚书郎
shangwei	not yet	尚未
shangweijiejue	unsolved	尚未解决
shangwu	promote a martial spirit	尚武
shangbiya	Zambia	尚比亚
shangwu	not yet	尚无
shangyi	see 尚義縣|尚义县[Shang4 yi4 Xian4]	尚义
gar	erhua variant of 尜[ga2]	尜儿
xian	variant of 鮮|鲜[xian3]	鲜
xian	variant of 尟|鲜[xian3]	鲜
wang	lame	尢
you	surname You	尤
you	outstanding	尤
youkelili	ukulele	尤克里里
youqi	especially	尤其
youqishi	especially	尤其是
youlixisi	Ulysses	尤利西斯
youjiali	eucalyptus	尤加利
youkatan	Yucatan	尤卡坦
youkatanbandao	Yucatan Peninsula	尤卡坦半岛
youkan	Rjukan	尤坎
youzhi	especially	尤指
youxi	see 尤溪縣|尤溪县[You2 xi1 Xian4]	尤溪
youwei	especially	尤为
youerqinke	Yurchenko	尤尔钦科
youwu	rarity	尤物
yougou	shame	尤诟
youjin	Eugene	尤金
liao	give a backward kick	尥
liaojuezi	kick backward	尥蹶子
pang	surname Pang	尨
mang	shaggy dog	尨
pang	old variant of 龐|庞[pang2]	尨
wang	variant of 尪[wang1]	尩
wang	feeble	尪
ga	embarrassing	尬
gayi	like	尬意
galiao	awkward conversation	尬聊
gadian	goddamn	尬电
zhong	swell	尰
jiu	in that case	就
jiushilunshi	discuss sth on its own merits	就事论事
jiuren	take office	就任
jiuban	act as companion	就伴
jiubian	at one's convenience	就便
jiukou	be brought up to one's mouth	就口
jiukoubeigai	cup lid with a sipping spout	就口杯盖
jiudi	locally	就地
jiudiqucai	draw on local resources	就地取材
jiudizhengfa	execute on the spot	就地正法
jiuxue	attend school	就学
jiuqin	go to sleep	就寝
jiuzuo	take a seat	就座
jiuqin	be taken prisoner	就擒
jiushi	exactly	就是
jiushishuo	in other words	就是说
jiuwanle	then it's too late	就晚了
jiufu	employment service	就服
jiumu	be placed in a coffin	就木
jiuye	get a job	就业
jiuyefuwu	employment service	就业服务
jiuyejihui	employment opportunity	就业机会
jiuyelu	employment rate	就业率
jiuzheng	solicit comments	就正
jiuci	at this point	就此
jiusuan	even if	就算
jiufan	submit	就范
jiuxu	be ready	就绪
jiuzhi	take office	就职
jiuzhidianli	inauguration	就职典礼
jiuzhiyanshuo	inaugural speech	就职演说
jiuzhiyanjiang	inaugural lecture	就职演讲
jiuzhe	with	就着
jiuli	inside story	就里
jiuyao	will	就要
jiuzhen	see a doctor	就诊
jiudu	go to school	就读
jiujin	nearby	就近
jiudao	set off	就道
jiuyi	receive medical treatment	就医
jiucan	dine	就餐
gan	variant of 尷|尴[gan1]	尲
gan	old variant of 尷|尴[gan1]	尶
gan	used in 尷尬|尴尬[gan1 ga4]	尴
ganga	awkward	尴尬
shiweisucan	hold a sinecure	尸位素餐
shilu	hold a sinecure	尸禄
shiluo	sila	尸罗
yin	surname Yin	尹
yin	administer	尹
chi	a Chinese foot	尺
chiba	shakuhachi	尺八
chizi	ruler	尺子
chicun	size	尺寸
chidu	scale	尺度
chima	size	尺码
chihuoe	moth in family Geometridae	尺蠖蛾
chigui	ruler and compass	尺规
chiguizuotu	ruler and compass construction	尺规作图
chigu	ulna	尺骨
kao	buttocks	尻
kaomenzi	anus	尻门子
kaogu	coccyx	尻骨
ni	Buddhist nun	尼
niyajialapubu	Niagara Falls	尼亚加拉瀑布
niyamei	Niamey, capital of Niger	尼亚美
niren	Neanderthal	尼人
nike	Nick	尼克
nikesen	Nixon	尼克森
nijialapubu	Niagara Falls	尼加拉瀑布
nijialagua	Nicaragua	尼加拉瓜
nielide	Nereids	尼厄丽德
niguding	nicotine	尼古丁
niguxiya	Nicosia, capital of Cyprus	尼古西亚
nige	nigger	尼哥
nimu	Nîmes	尼姆
nigu	Buddhist nun	尼姑
niandetaren	Neanderthal man	尼安德塔人
niandeteren	Neanderthal man	尼安德特人
nibujianisa	Nebuchadnezzar	尼布甲尼撒
niximiji	Book of Nehemiah	尼希米记
nikang	Nikon corporation	尼康
nidelan	the Netherlands	尼德兰
nisi	Nice	尼斯
nisihushuiguai	Loch Ness Monster	尼斯湖水怪
niri	Niger	尼日
niriliya	Nigeria	尼日利亚
nirier	Niger	尼日尔
nirierhe	Niger River of West Africa	尼日尔河
nimu	see 尼木縣|尼木县[Ni2 mu4 Xian4]	尼木
nigeluo	negro	尼格罗
nisang	Nissan, Japanese car make	尼桑
niboer	Nepal	尼泊尔
niboerwangguo	Kingdom of Nepal	尼泊尔王国
niboerjiaomei	Nepal cupwing	尼泊尔鹪鹛
niersen	Nielsen or Nelson	尼尔森
nierxun	Nelson or Nillson	尼尔逊
nite	nit , unit of luminance	尼特
nima	see 尼瑪縣|尼玛县[Ni2 ma3 Xian4]	尼玛
nima	alternative for 你媽|你妈[ni3 ma1]	尼玛
nikexiya	Nicosia, capital of Cyprus	尼科西亚
niluohe	the Nile	尼罗河
nisu	Nisu	尼苏
nilong	nylon	尼龙
nilongdakou	nylon buckle	尼龙搭扣
wei	tail	尾
yi	horse's tail	尾
weidabudiao	large tail obstructs action	尾大不掉
weizi	tail	尾子
weiba	tail	尾巴
weiji	attack from the rear	尾击
weishu	remainder	尾数
weiqi	final period	尾期
weishao	the tip	尾梢
weizhui	coccyx	尾椎
weiqian	balance due	尾欠
weikuan	balance	尾款
weiqi	exhaust	尾气
weishui	tailwater	尾水
weishuiqudao	outflow channel	尾水渠道
weiliu	wake	尾流
weideng	tail light	尾灯
weiban	last service	尾班
weisheng	Wei Sheng	尾生
weikuang	mining waste	尾矿
weikuangku	slag heap	尾矿库
weizhui	follow sb	尾缀
weiyu	tail feathers	尾羽
weiyulong	caudipteryx	尾羽龙
weiyi	empennage	尾翼
weisheng	coda	尾声
weiyou	tailed larva	尾蚴
weizhu	endnote	尾注
weibu	back part	尾部
weilugu	coccyx	尾闾骨
weisui	tail behind	尾随
weiyin	final sound of a syllable	尾音
weiyun	rhyme	尾韵
weiye	last page	尾页
weigu	coccyx	尾骨
weiqi	tail or caudal fin	尾鳍
niao	urinate	尿
sui	urine	尿
niaobushi	disposable diaper	尿不湿
niaomiding	uracil nucleotide	尿嘧啶
niaoshijin	urinary incontinence	尿失禁
niaoniao	pee	尿尿
niaobu	diaper	尿布
niaobuzhen	diaper rash	尿布疹
niaochuang	wet the bed	尿床
niaoji	urinary urgency	尿急
niaoyi	an urge to urinate	尿意
niaoyang	urine sample	尿样
niaojian	urine test	尿检
niaoduzheng	uremia	尿毒症
suipao	bladder	尿泡
niaoye	urine	尿液
niaokang	wet the bed	尿炕
niaopian	diaper	尿片
niaopen	chamber pot	尿盆
niaosu	carbamide	尿素
suipao	bladder	尿脬
niaokuzi	wet one's pants	尿裤子
niaodun	pretext of needing to urinate	尿遁
niaodao	urethra	尿道
niaosuan	uric acid	尿酸
ju	office	局
juzhongren	participant	局中人
jucu	variant of 侷促|局促[ju2 cu4]	局促
jucuyiyu	be cramped in a corner	局促一隅
jucubuan	ill at ease	局促不安
jushi	situation	局势
judi	local	局地
juyuwang	local area network	局域网
juwai	outside	局外
juwaizhongli	neutralism	局外中立
juzi	police station	局子
juzaoxing	focal	局灶性
juji	bureau-level	局级
jubu	part	局部
jubuzuoyongyu	local scope	局部作用域
jubuxing	local	局部性
jubumazui	local anesthesia	局部麻醉
jubumazuiji	local anesthetic	局部麻醉剂
juzhang	bureau chief	局长
juxian	limit	局限
juxianxing	limitations	局限性
juxianyu	be limited to	局限于
jumian	aspect	局面
juma	local anesthesia	局麻
jumayao	local anesthetic	局麻药
pi	fart	屁
pishi	trifling matter	屁事
pidunr	a fall on the buttocks	屁墩儿
pipi	buttocks	屁屁
pimin	shitizen	屁民
pigunniaoliu	piss one's pants in terror	屁滚尿流
piyan	anus	屁眼
piyanr	erhua variant of 屁眼[pi4 yan3]	屁眼儿
pijing	gay	屁精
pigu	buttocks	屁股
pigujuedingnaodai	lit. the butt governs the head	屁股决定脑袋
piguyan	anus	屁股眼
pigudan	butt cheek	屁股蛋
pigudunr	a fall on the buttocks	屁股蹲儿
pihua	bullshit	屁话
piqing	very light	屁轻
pidianpidian	lit. jolting buttocks	屁颠屁颠
bi	cunt	屄
bibi	rattle on	屄屄
ju	surname Ju	居
ju	reside	居
juzhong	be between two parties	居中
juzhongduiqi	centered alignment	居中对齐
juren	inhabitant	居人
juwei	occupy a high position	居位
juzhu	reside	居住
juzhudi	current address	居住地
juzhuyu	inhabit	居住于
juzhuzhe	inhabitant	居住者
juzhuzheng	residence permit	居住证
jugong	claim credit for oneself	居功
jusang	observe the ritual mourning	居丧
juduo	be in the majority	居多
juqi	hoard	居奇
juweihui	neighbourhood committee	居委会
jushuang	remain widowed	居孀
juzhai	dwelling	居宅
juguan	secure a position	居官
jushi	room	居室
jujia	live at home	居家
juxin	harbor  intentions	居心
juxinbuliang	harbor evil intentions	居心不良
juxinhezai	What's  up to?	居心何在
juxinpoce	harboring unfathomable motives	居心叵测
juxinxiane	have sinister motives	居心险恶
jusuo	residence	居所
juyu	occupy	居于
juzheng	follow the right path	居正
jumin	resident	居民
juminqu	residential area	居民区
juminlou	apartment building	居民楼
juminxiaofeijiagezhishu	consumer price index CPI	居民消费价格指数
jumindian	residential area	居民点
juwudingsuo	be without a fixed residence	居无定所
juran	unexpectedly	居然
juliu	reside	居留
juliuquan	right of abode	居留权
juliuzheng	residence permit	居留证
juli	variant of 居里[ju1 li3]	居礼
judi	housing	居第
juchu	live	居处
juchu	dwelling place	居处
jujiuwu	izakaya	居酒屋
juli	curie	居里
jujian	positioned between	居间
jushou	leading	居首
jugaobuxia	remain high	居高不下
julushi	Cyrus	居鲁士
jie	arrive at	届
jieshi	when the time comes	届时
jieman	expire	届满
tian	cave	屇
qu	surname Qu	屈
qu	bent	屈
quguangdu	diopter	屈光度
qugongbing	chikungunya fever	屈公病
quzun	condescend	屈尊
quzunfujiu	condescend	屈尊俯就
qucong	submit	屈从
ququr	staple	屈戌儿
qucai	waste talent	屈才
quzheyu	inflect	屈折语
quzhi	count on one's fingers	屈指
quzhiyisuan	count on one's fingers	屈指一算
qunao	surrender	屈挠
ququ	crooked	屈曲
qufu	surrender	屈服
quji	flexor	屈肌
quxili	curtsy	屈膝礼
quru	humiliate	屈辱
qutoudan	see 鴨仔蛋|鸭仔蛋[ya1 zi3 dan4]	屈头蛋
quti	bend at the waist	屈体
wu	house	屋
wuqi	home	屋企
wuwai	outdoors	屋外
wuzi	house	屋子
wuyu	house	屋宇
wujia	a building	屋架
wuloupianfenglianyeyu	when it rains, it pours	屋漏偏逢连夜雨
wulougengzaolianyeyu	when it rains, it pours	屋漏更遭连夜雨
wuyan	eaves	屋檐
wuji	roof ridge	屋脊
wumian	roof	屋面
wumianwa	room tiles	屋面瓦
wuding	roof	屋顶
diao	penis	屌
diaomao	male pubic hair	屌毛
diaobao	awesome	屌爆
diaosi	loser	屌丝
shi	corpse	尸
shijiang	rigor mortis	尸僵
shikuai	body parts	尸块
shibu	pall	尸布
shiban	livor mortis	尸斑
shijian	autopsy	尸检
shichou	odor of a dead body	尸臭
shishen	corpse	尸身
shishou	dead body	尸首
shigu	skeleton of the dead	尸骨
shihai	corpse	尸骸
shiti	corpse	尸体
shitipoujian	autopsy	尸体剖检
shitidai	body bag	尸体袋
shitijiepou	autopsy	尸体解剖
shi	feces	屎
shiyi	an urge to defecate	屎意
shikelang	see 屎蚵螂[shi3 ke1 lang2]	屎壳郎
shikelang	dung beetle	屎蚵螂
bing	used in 屏營|屏营[bing1 ying2]	屏
bing	get rid of	屏
ping	screen	屏
pingbao	screensaver	屏保
pingnan	see 屏南縣|屏南县[Ping2 nan2 Xian4]	屏南
pingzhanbi	screen-to-body ratio	屏占比
pingshan	see 屏山縣|屏山县[Ping2 shan1 Xian4]	屏山
pingmu	screen	屏幕
pingmubaohuchengxu	screensaver	屏幕保护程序
bingxi	hold one's breath	屏息
pingshe	photograph or film a screen	屏摄
pingdongshi	Pingtung City in south Taiwan	屏东市
pingtiao	set of  hanging scrolls	屏条
bingqi	hold one's breath	屏气
bingying	with fear and trepidation	屏营
pingbi	screen	屏蔽
pingbiguan	cask	屏蔽罐
bingtui	send away	屏退
pingmen	screen door	屏门
bingchu	get rid of	屏除
pingzhang	barrier	屏障
pingfeng	screen	屏风
ji	clogs	屐
xie	bits	屑
xi	variant of 屭|屃[xi4]	屃
zhan	surname Zhan	展
zhan	spread out	展
zhanchu	put on display	展出
zhanlie	lay out one's products	展列
zhanpin	exhibit	展品
zhanshi	exhibition room	展室
zhankuan	widen	展宽
zhanbu	spread	展布
zhanfan	unfurl	展帆
zhanping	flatten out	展平
zhanxianbi	aspect ratio	展弦比
zhanbo	exhibit as broadcast	展播
zhanhui	exhibition event	展会
zhanwang	outlook	展望
zhanqi	extend the period	展期
zhangui	display case	展柜
zhanwan	view close up	展玩
zhanxian	unfold before one's eyes	展现
zhanmei	beam with joy	展眉
zhanshi	reveal	展示
zhanhuan	postpone	展缓
zhanchi	spread wings	展翅
zhanchigaofei	spread one's wings and soar	展翅高飞
zhantai	display counter	展台
zhanlan	put on display	展览
zhanlanhui	exhibition	展览会
zhanlanguan	exhibition hall	展览馆
zhanping	display for evaluation	展评
zhanzhuan	variant of 輾轉|辗转[zhan3 zhuan3]	展转
zhanxiao	display and sell	展销
zhanxiaohui	trade show	展销会
zhankai	unfold	展开
zhankaitu	expanded view	展开图
zhanxian	extend a time limit	展限
zhanchen	exhibit	展陈
zhanlu	expose	展露
zhanguan	exhibition hall	展馆
xi	variant of 犀, rhinoceros	屖
man	the youngest	屘
e	excrete	屙
eniao	urinate	屙尿
eshi	defecate	屙屎
ping	variant of 屏[ping2]	屛
ti	drawer	屉
tizi	drawer	屉子
fei	coarse	屝
tu	surname Tu	屠
tu	slaughter	屠
tubo	butcher	屠伯
tudao	butcher's knife	屠刀
tuchang	slaughterhouse	屠场
tufu	butcher	屠夫
tuyaojie	Deepavali	屠妖节
tuzai	slaughter	屠宰
tuzaichang	slaughterhouse	屠宰场
tulu	slaughter	屠戮
tuhu	butcher	屠户
tusha	massacre	屠杀
tudu	poison	屠毒
tudubimo	poisonous writing	屠毒笔墨
lu	time and again	屡
luchukuangyan	repeated gaffes	屡出狂言
lujia	ply	屡加
lulu	again and again	屡屡
luzhanlubai	suffer defeat in every battle	屡战屡败
luci	repeatedly	屡次
lujianbuxian	a common occurrence	屡见不鲜
lushibushuang	well-tried	屡试不爽
luzao	suffer repeatedly	屡遭
xi	slippers	屣
ceng	pile on top of one another	层
cengchubuqiong	more and more emerge	层出不穷
cengya	lamination	层压
cengyashituixiao	pyramid scheme	层压式推销
cengzi	stratum	层子
cengceng	layer upon layer	层层
cengcengchuanda	send down the line	层层传达
cengcengjiama	increase bit by bit	层层加码
cengluan	range upon range of mountains	层峦
cengluandiezhang	range upon range of mountains	层峦叠嶂
cengyan	stratified rock	层岩
cenglou	multistoried building	层楼
cengci	layer	层次
cengcifenming	layered	层次分明
cengliu	laminar flow	层流
cengzhuang	stratified	层状
cengli	stratification	层理
cengdie	layer upon layer	层叠
cengjiyun	stratocumulus cloud	层积云
cengji	level	层级
cengxiandiechu	occur frequently	层见叠出
cengyun	stratus	层云
cengmian	aspect	层面
