xie	old variant of 攜|携[xie2]	携
lan	variant of 擥[lan3]	㨫
xie	old variant of 攜|携[xie2]	携
song	stand upright	㧐
he	beat	㪃
han	variant of 捍[han4]	㪋
san	variant of 散[san4]	散
dun	variant of 敦[dun1]	敦
lang	dry  in the sun	㫰
xi	old variant of 昔[xi1]	㫺
nuan	old variant of 暖[nuan3]	暖
xian	old variant of 顯|显[xian3]	㬎
bei	variant of 杯[bei1]	㮎
li	old variant of 栗[li4]	㮚
song	variant of 送[song4]	㮸
lu	variant of 櫓|橹[lu3]	橹
qing	variant of 檠[qing2]	㯳
yin	old variant of 飲|饮[yin3]	饮
shao	variant of 韶[shao2]	㲈
tao	variant of 鞀|鼗[tao2]	㲈
lie	old variant of 鬣[lie4]	㲱
yu	old variant of 雨[yu3]	㲾
yan	variant of 沿[yan2]	㳂
xian	variant of 涎[xian2]	涎
fa	variant of 法[fa3]	法
chong	flow down	㳘
niao	old variant of 尿[niao4]	㳮
shen	old variant of 深[shen1]	深
jian	variant of 澗|涧[jian4]	涧
jue	Jue River in Hubei	㵐
jueshui	Jue River	㵐水
xian	variant of 涎[xian2]	㵪
chun	clear water	㵮
zhao	old variant of 照[zhao4]	㷖
feng	old variant of 烽[feng1]	㷭
ye	variant of 燁|烨[ye4]	烨
huo	twinkle	㸌
tun	old variant of 豚[tun2]	㹠
jia	used in 㺢㹢狓[huo4 jia1 pi2]	㹢
geng	terrier	㹴
gengquan	terrier	㹴犬
huo	used in 㺢㹢狓[huo4 jia1 pi2]	㺢
huojiapi	okapi	㺢㹢狓
jiu	black jade	㺵
tu	a kind of jade	㻬
xuan	variant of 璿|璇[xuan2]	㻽
wan	variant of 碗[wan3]	碗
liu	old variant of 留[liu2]	留
xing	old variant of 星[xing1]	㽮
bie	variant of 癟|瘪[bie3]	瘪
xiang	old variant of 香[xiang1]	㿝
shi	variant of 石[shi2]	䂖
fa	variant of 砝[fa3]	䂲
jie	variant of 蜐[jie2]	䂶
min	old variant of 珉[min2]	䃉
zhuo	chaff	䅵
ce	variant of 筴|策[ce4]	䇲
hu	variant of 糊[hu2]	糊
yao	vase	䍃
shan	variant of 膻[shan1]	䍹
ran	down	䎃
qi	old variant of 芞[qi4]	䒗
zhuo	tropylium ion	䓬
hua	old variant of 華|华[hua2]	䔢
qian	variant of 蕁|荨[qian2]	䕭
xian	a kind of vegetable	䕭
meng	old variant of 虻[meng2]	䖟
e	variant of 蛾[e2]	䖸
meng	old variant of 虻[meng2]	䗈
zong	used in 螉䗥[weng1 zong1]	䗥
zhe	Chinese ground beetle	䗪
feng	variant of 蜂[feng1]	蜂
la	old variant of 蠟|蜡[la4]	䗶
xu	variant of 恤[xu4]	恤
mai	old variant of 脈|脉[mai4]	脉
zu	variant of 卒[zu2]	卒
ci	old variant of 詞|词[ci2]	词
jia	variant of 唊[jia2]	䛟
lie	old variant of 鬣[lie4]	䝓
huan	variant of 獾[huan1]	獾
cheng	old variant of 赬|赪[cheng1]	䞓
bi	old variant of 蹕|跸[bi4]	䟆
chang	squat	䠀
tang	old variant of 趟[tang1]	趟
cu	variant of 蹙[cu4]	䠞
she	old variant of 射[she4]	射
tiao	used in 高䠷[gao1 tiao3]	䠷
xi	old variant of 醯[xi1]	䤈
mai	meitnerium	鿏
lian	old variant of 鐮|镰[lian2]	镰
si	variant of 肆[si4]	䦉
peng	variant of 閛[peng1]	䦕
tiao	variant of 鞗[tiao2]	䩦
qi	variant of 魌[qi1]	䫏
sa	variant of 颯|飒[sa4]	飒
fei	old variant of 霏[fei1]	䬠
bo	variant of 餺|馎[bo2]	䬪
tuo	variant of 馱|驮[tuo2]	驮
sui	variant of 髓[sui3]	䯝
hun	old variant of 魂[hun2]	魂
ba	used in 䰾魚|鲃鱼[ba1 yu2]	鲃
bayu	barbel	鲃鱼
wei	blenny	鳚
jing	old variant of 鯨|鲸[jing1]	䲔
e	variant of 鵝|鹅[e2]	䳗
e	variant of 鵝|鹅[e2]	鹅
